current_food,share,dimension,group,date_range
insecure,0.098,total,CT,2020-04-23_2020-07-07
insecure,0.13,age_range,ages18_34,2020-04-23_2020-07-07
insecure,0.11,age_range,ages35_64,2020-04-23_2020-07-07
insecure,0.025,age_range,ages65plus,2020-04-23_2020-07-07
insecure,0.064,race,white,2020-04-23_2020-07-07
insecure,0.18,race,black,2020-04-23_2020-07-07
insecure,0.18,race,latino,2020-04-23_2020-07-07
insecure,0.087,race,asian,2020-04-23_2020-07-07
insecure,0.13,kids_present,kids_in_house,2020-04-23_2020-07-07
insecure,0.081,kids_present,no_kids,2020-04-23_2020-07-07
