housing_conf,share,dimension,group,date_range
not_confident,0.19,total,CT,2020-04-23_2020-07-07
not_confident,0.24,age_range,ages18_34,2020-04-23_2020-07-07
not_confident,0.2,age_range,ages35_64,2020-04-23_2020-07-07
not_confident,0.069,age_range,ages65plus,2020-04-23_2020-07-07
not_confident,0.12,race,white,2020-04-23_2020-07-07
not_confident,0.3,race,black,2020-04-23_2020-07-07
not_confident,0.35,race,latino,2020-04-23_2020-07-07
not_confident,0.15,race,asian,2020-04-23_2020-07-07
not_confident,0.24,kids_present,kids_in_house,2020-04-23_2020-07-07
not_confident,0.15,kids_present,no_kids,2020-04-23_2020-07-07
